cbsa_code,cbsa_name,total_count,pubHS_count,privHS_count,cc_count,other_count
35620,"New York-Newark-Jersey City, NY-NJ-PA",206,142,35,8,21
16980,"Chicago-Naperville-Elgin, IL-IN-WI",143,95,26,11,11
38300,"Pittsburgh, PA",129,81,14,27,7
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",120,81,24,4,11
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",104,64,27,4,9
19100,"Dallas-Fort Worth-Arlington, TX",56,28,21,1,6
14460,"Boston-Cambridge-Newton, MA-NH",44,31,11,0,2
12580,"Baltimore-Columbia-Towson, MD",38,16,17,3,2
40380,"Rochester, NY",32,23,5,0,4
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",32,20,8,2,2
26420,"Houston-The Woodlands-Sugar Land, TX",31,12,14,0,5
10900,"Allentown-Bethlehem-Easton, PA-NJ",22,16,2,3,1
45940,"Trenton, NJ",21,9,11,1,0
17460,"Cleveland-Elyria, OH",17,10,5,0,2
25420,"Harrisburg-Carlisle, PA",16,13,1,1,1
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",15,6,5,0,4
42660,"Seattle-Tacoma-Bellevue, WA",13,7,2,1,3
29540,"Lancaster, PA",11,7,3,0,1
18140,"Columbus, OH",11,7,1,0,3
10580,"Albany-Schenectady-Troy, NY",11,9,2,0,0
12420,"Austin-Round Rock, TX",11,6,4,0,1
39740,"Reading, PA",10,6,2,0,2
49620,"York-Hanover, PA",9,7,1,0,1
42540,"Scranton--Wilkes-Barre--Hazleton, PA",8,3,3,1,1
39300,"Providence-Warwick, RI-MA",8,3,4,0,1
21500,"Erie, PA",8,5,2,0,1
45060,"Syracuse, NY",8,7,1,0,0
16740,"Charlotte-Concord-Gastonia, NC-SC",7,4,1,0,2
35260,"New Castle, PA",7,7,0,0,0
12100,"Atlantic City-Hammonton, NJ",7,4,1,0,2
10420,"Akron, OH",7,4,3,0,0
14860,"Bridgeport-Stamford-Norwalk, CT",6,5,0,0,1
11020,"Altoona, PA",6,4,2,0,0
27780,"Johnstown, PA",5,3,1,0,1
38860,"Portland-South Portland, ME",5,4,1,0,0
26860,"Indiana, PA",5,3,1,0,1
49660,"Youngstown-Warren-Boardman, OH-PA",5,4,0,0,1
17140,"Cincinnati, OH-KY-IN",5,3,1,0,1
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",5,1,2,0,2
25540,"Hartford-West Hartford-East Hartford, CT",4,2,1,0,1
30140,"Lebanon, PA",4,3,0,0,1
49340,"Worcester, MA-CT",4,3,1,0,0
40060,"Richmond, VA",4,2,1,0,1
39580,"Raleigh, NC",3,1,1,0,1
43740,"Somerset, PA",3,2,1,0,0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",3,0,1,0,2
32740,"Meadville, PA",3,2,0,0,1
20700,"East Stroudsburg, PA",3,2,1,0,0
20180,"DuBois, PA",3,2,0,0,1
31700,"Manchester-Nashua, NH",3,3,0,0,0
36740,"Orlando-Kissimmee-Sanford, FL",2,0,0,0,2
41740,"San Diego-Carlsbad, CA",2,0,0,0,2
16540,"Chambersburg-Waynesboro, PA",2,2,0,0,0
20500,"Durham-Chapel Hill, NC",2,1,1,0,0
44300,"State College, PA",2,1,1,0,0
13980,"Blacksburg-Christiansburg-Radford, VA",1,0,0,0,1
24860,"Greenville-Anderson-Mauldin, SC",1,0,0,0,1
12060,"Atlanta-Sandy Springs-Roswell, GA",1,0,0,0,1
31080,"Los Angeles-Long Beach-Anaheim, CA",1,0,0,0,1
23900,"Gettysburg, PA",1,0,0,0,1
16700,"Charleston-North Charleston, SC",1,1,0,0,0
14010,"Bloomington, IL",1,0,0,0,1
18500,"Corning, NY",1,1,0,0,0
17900,"Columbia, SC",1,1,0,0,0
36140,"Ocean City, NJ",1,1,0,0,0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,0,0,0,1
39060,"Pottsville, PA",1,1,0,0,0
14620,"Bradford, PA",1,1,0,0,0
47620,"Warren, PA",1,1,0,0,0
27260,"Jacksonville, FL",1,0,0,0,1
33340,"Milwaukee-Waukesha-West Allis, WI",1,0,0,0,1
12180,"Auburn, NY",1,1,0,0,0
26900,"Indianapolis-Carmel-Anderson, IN",1,0,0,0,1
41180,"St. Louis, MO-IL",1,0,0,0,1
38060,"Phoenix-Mesa-Scottsdale, AZ",1,0,0,0,1
14740,"Bremerton-Silverdale, WA",1,1,0,0,0
42900,"Seneca Falls, NY",1,1,0,0,0
38900,"Portland-Vancouver-Hillsboro, OR-WA",1,0,0,0,1
26500,"Huntingdon, PA",1,0,1,0,0
20100,"Dover, DE",1,1,0,0,0
41260,Unknown,1,0,1,0,0
36340,"Oil City, PA",1,1,0,0,0
48260,"Weirton-Steubenville, WV-OH",1,1,0,0,0
19380,"Dayton, OH",1,1,0,0,0
15940,"Canton-Massillon, OH",1,1,0,0,0
35300,"New Haven-Milford, CT",1,1,0,0,0
